id,name,workflowComparator,ascending,deadlineFactor,reliabilityFactor,jobSequenceStrategy,neighborhoodFactor,slackTimeFactor,daxList,completionDetail,elecCost,finishTime,retryCount,overdueCount,plnRuntime,runtime
80,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09550929444472223,11762.889,6,1,3.051,3.108
77,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03537693396027778,776.7365,0,0,3.451,3.497
78,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09356290113138889,9127.379,8,1,3.527,3.58
79,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.034468114357222225,707.5651,0,0,3.535,3.576
81,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.033921131319166666,717.8537,0,1,3.178,3.23
82,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09597456865055555,10838.2919,12,2,3.629,3.677
83,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03411455541527778,707.507,0,1,3.179,3.231
84,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.12221490294555555,8976.993,3,2,3.213,3.258
85,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03259319836083334,717.503,0,1,3.498,3.54
89,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.035203176263611115,993.7769,0,1,3.143,3.185
86,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08949132643583332,10534.8117,6,2,3.488,3.541
88,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10744936737277777,6961.3129,6,2,3.411,3.457
87,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.038449257551388887,915.76,0,1,3.564,3.619
90,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08433134725472222,9613.3179,8,2,3.388,3.44
92,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10071235034555555,9855.0182,6,2,3.344,3.391
91,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.034639950861111116,744.9954,0,1,3.485,3.538
93,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.038662675067777784,673.0818,1,1,3.177,3.213
95,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.035814217548888895,995.3986,0,1,3.157,3.215
94,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09755993388833334,9860.8625,5,2,3.539,3.574
96,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.1235532358886111,8690.1108,1,2,3.177,3.222
98,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.1281924027697222,8046.2317,6,2,3.107,3.15
97,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.04058717716388889,923.2009,0,1,3.572,3.614
100,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10795731126277777,7744.3676,3,2,3.345,3.403
99,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03933862746138889,668.8753,0,1,3.538,3.583
101,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03550216903,768.3024,1,1,3.306,3.365
102,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.12137411769694445,8935.7652,1,1,3.484,3.519
103,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03945150531166667,702.3214,0,1,3.444,3.491
104,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09984262499944445,6827.3949,5,1,3.421,3.468
105,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.04011525619055556,710.45,0,1,3.262,3.317
106,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08082455552194445,8602.0494,4,2,3.143,3.186
108,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09861955230194444,10195.7938,2,3,3.138,3.181
107,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03802293573777778,717.7874,0,1,3.661,3.709
109,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.038271657483888895,707.5652,0,1,3.233,3.281
110,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.12149278901083337,8958.5151,4,2,3.389,3.432
111,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03925646544055556,769.1448,0,1,3.359,3.402
112,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.1391271751161111,7607.6192,2,2,3.494,3.553
113,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03361639404194445,726.3137,0,1,3.584,3.635
114,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.11225601827416666,10547.256,7,2,3.486,3.528
117,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03547634640194445,786.2029,0,1,3.23,3.282
116,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09490214744333333,10998.6887,8,3,3.425,3.475
115,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.035275479160277776,921.5138,1,1,3.473,3.521
118,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09236680187027778,10188.5131,7,2,3.216,3.261
119,HEFT(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.034955359801388884,707.5649,0,1,3.154,3.204
120,Random(cmp=JobNum),JobNum,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09405213759416667,10698.1607,11,2,3.582,3.621
121,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03368449346222223,733.2522,0,2,3.147,3.188
122,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08790128984277777,8792.9594,1,3,3.48,3.533
123,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03369508613611111,784.0799,0,2,3.412,3.458
124,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09498579331027776,9341.0537,5,3,3.487,3.543
125,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03343940788361111,733.5284,0,2,3.393,3.447
127,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.036994636459722216,776.332,0,2,3.149,3.191
126,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09276039777444445,10982.7393,5,3,3.482,3.539
129,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03339636314,993.7772,0,2,3.514,3.572
128,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09823201780472222,4165.3851,3,2,3.613,3.659
130,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.11641027542805554,6703.751,8,2,3.133,3.182
131,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.0342379668125,771.4531,0,2,3.317,3.362
133,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.039899239461388895,925.4814,0,1,3.091,3.139
132,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08853763248277777,10326.1027,4,3,3.54,3.583
134,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.11302655162083333,9031.0431,0,3,3.543,3.59
135,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.032394784213055555,718.068,0,2,3.373,3.416
138,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08952257756694444,9742.1631,6,2,3.171,3.218
137,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.0402019723786111,923.2009,0,2,3.532,3.58
136,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10571733646944445,9837.2176,5,3,3.592,3.634
139,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.04211761285972222,683.6635,0,2,3.543,3.596
141,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03381420784527778,708.1711,0,2,3.433,3.478
140,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10175448885166666,9855.0434,6,2,3.647,3.696
142,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09916359619083334,7473.6265,8,3,3.283,3.318
143,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03768232817611111,688.7395,0,2,3.062,3.108
144,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10855908970111111,6874.3552,9,2,3.164,3.204
145,HEFT(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03832772030750001,701.384,0,2,3.459,3.502
148,Random(cmp=Length),Length,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.0903088872325,8515.6149,6,2,3.131,3.169
